course_title,course_url
Construction Management,https://www.coursera.org/specializations/construction-management
Construction Project Management,https://www.coursera.org/learn/construction-project-management
Contabilidad para no contadores,https://www.coursera.org/learn/contabilidad
Convolutional Neural Networks,https://www.coursera.org/learn/convolutional-neural-networks
Convolutional Neural Networks in TensorFlow,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow
Core Java,https://www.coursera.org/specializations/core-java
Corporate & Commercial Law I: Contracts & Employment Law,https://www.coursera.org/learn/corporate-commercial-law-part1
Corporate Strategy,https://www.coursera.org/learn/corporatestrategy
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,https://www.coursera.org/learn/corp-sustainability
Cost Accounting,https://www.coursera.org/specializations/costaccounting
Cost and Economics in Pricing Strategy,https://www.coursera.org/learn/uva-darden-bcg-pricing-strategy-cost-economics
Country Level Economics: Macroeconomic Variables and Markets,https://www.coursera.org/learn/country-level-economics
Crash Course on Python,https://www.coursera.org/learn/python-crash-course
Create High-Fidelity Designs and Prototypes in Figma,https://www.coursera.org/learn/high-fidelity-designs-prototype
Creating Business Value with Data and Looker,https://www.coursera.org/specializations/creating-business-value-with-data-and-looker
Creative Thinking: Techniques and Tools for Success,https://www.coursera.org/learn/creative-thinking-techniques-and-tools-for-success
Creative Writing,https://www.coursera.org/specializations/creative-writing
Creative Writing: The Craft of Plot,https://www.coursera.org/learn/craft-of-plot
Creativity and AI,https://www.coursera.org/specializations/creativity-ai
Cryptography I,https://www.coursera.org/learn/crypto
Cultural Competence - Aboriginal Sydney,https://www.coursera.org/learn/cultural-competence-aboriginal-sydney
Culture-Driven Team Building,https://www.coursera.org/specializations/team-building
Curanderismo: Traditional Healing Using Plants,https://www.coursera.org/learn/curanderismo-plants
"Custom Models, Layers, and Loss Functions with TensorFlow",https://www.coursera.org/learn/custom-models-layers-loss-functions-with-tensorflow
Customer Analytics,https://www.coursera.org/learn/wharton-customer-analytics
Customer Experiences with Contact Center AI - Dialogflow CX,https://www.coursera.org/specializations/customer-experiences-with-contact-center-ai-dialogflow-cx
Customer Experiences with Contact Center AI - Dialogflow ES,https://www.coursera.org/specializations/customer-experience-gcp
Customer Service Fundamentals,https://www.coursera.org/learn/customer-service-fundamentals
Cyber Security Fundamentals,https://www.coursera.org/learn/cyber-security-fundamentals
Cybersecurity,https://www.coursera.org/specializations/cyber-security
Cybersecurity Attack and Defense Fundamentals,https://www.coursera.org/specializations/cybersecurity-attack-and-defense
Cybersecurity Compliance Framework & System Administration,https://www.coursera.org/learn/cybersecurity-compliance-framework-system-administration
Cybersecurity Operations Fundamentals,https://www.coursera.org/specializations/cbrops
Cybersecurity Risk Management Frameworks,https://www.coursera.org/specializations/cybersecurity-risk-management-frameworks
"Cybersecurity Roles, Processes & Operating System Security",https://www.coursera.org/learn/cybersecurity-roles-processes-operating-system-security
Cybersecurity for Everyone,https://www.coursera.org/learn/cybersecurity-for-everyone
Cybersécurité Google,https://www.coursera.org/professional-certificates/cybersecurite-google
Data Analysis and Presentation Skills: the PwC Approach,https://www.coursera.org/specializations/pwc-analytics
Data Analysis and Visualization Foundations,https://www.coursera.org/specializations/data-analysis-visualization-foundations
Data Analysis with Python,https://www.coursera.org/learn/data-analysis-with-python
Data Analysis with R,https://www.coursera.org/specializations/statistics
Data Analysis with R Programming,https://www.coursera.org/learn/data-analysis-r
Data Analytics in the Public Sector with R,https://www.coursera.org/specializations/data-analytics-in-the-public-sector-with-r
Data Engineering Foundations,https://www.coursera.org/specializations/data-engineering-foundations
"Data Engineering, Big Data, and Machine Learning on GCP",https://www.coursera.org/specializations/gcp-data-machine-learning
Data Literacy,https://www.coursera.org/specializations/data-literacy
Data Management for Clinical Research,https://www.coursera.org/learn/clinical-data-management
Data Mining,https://www.coursera.org/specializations/data-mining
Data Science,https://www.coursera.org/specializations/jhu-data-science
Data Science Foundations: Statistical Inference,https://www.coursera.org/specializations/statistical-inference-for-data-science-applications
Data Science Fundamentals with Python and SQL,https://www.coursera.org/specializations/data-science-fundamentals-python-sql
Data Science Math Skills,https://www.coursera.org/learn/datasciencemathskills
Data Science Methodology,https://www.coursera.org/learn/data-science-methodology
Data Science with Databricks for Data Analysts,https://www.coursera.org/specializations/data-science-with-databricks-for-data-analysts
Data Science: Foundations using R,https://www.coursera.org/specializations/data-science-foundations-r
Data Science: Statistics and Machine Learning,https://www.coursera.org/specializations/data-science-statistics-machine-learning
Data Structures and Algorithms,https://www.coursera.org/specializations/data-structures-algorithms
Data Visualization & Dashboarding with R,https://www.coursera.org/specializations/jhu-data-visualization-dashboarding-with-r
Data Visualization and Dashboards with Excel and Cognos,https://www.coursera.org/learn/data-visualization-dashboards-excel-cognos
Data Visualization with Python,https://www.coursera.org/learn/python-for-data-visualization
Data Visualization with Tableau,https://www.coursera.org/specializations/data-visualization
Data Warehousing for Business Intelligence,https://www.coursera.org/specializations/data-warehousing
Data-driven Decision Making,https://www.coursera.org/learn/decision-making
Databases and SQL for Data Science with Python,https://www.coursera.org/learn/sql-data-science
Decentralized Finance (DeFi): The Future of Finance,https://www.coursera.org/specializations/decentralized-finance-duke
"Decisions, Decisions: Dashboards and Reports",https://www.coursera.org/learn/decisions-decisions-dashboards-and-reports
Deep Learning,https://www.coursera.org/specializations/deep-learning
Deep Neural Networks with PyTorch,https://www.coursera.org/learn/deep-neural-networks-with-pytorch
DeepLearning.AI TensorFlow Developer,https://www.coursera.org/professional-certificates/tensorflow-in-practice
Deploying Machine Learning Models in Production,https://www.coursera.org/learn/deploying-machine-learning-models-in-production
Desarrollador front-end de Meta,https://www.coursera.org/professional-certificates/meta-front-end-developer-es
Design Thinking,https://www.coursera.org/specializations/uva-darden-design-thinking
Design a User Experience for Social Good & Prepare for Jobs,https://www.coursera.org/learn/ux-design-jobs
Design and Interpretation of Clinical Trials,https://www.coursera.org/learn/clinical-trials
DevOps on AWS,https://www.coursera.org/specializations/aws-devops
"DevOps, Cloud, and Agile Foundations",https://www.coursera.org/specializations/devops-cloud-and-agile-foundations
Developing AI Applications with Python and Flask,https://www.coursera.org/learn/python-project-for-ai-application-development
Developing APIs with Google Cloud's Apigee API Platform,https://www.coursera.org/specializations/apigee-api-gcp
Developing Applications with Google Cloud,https://www.coursera.org/specializations/developing-apps-gcp
Developing Front-End Apps with React,https://www.coursera.org/learn/developing-frontend-apps-with-react
Devenir entrepreneur du changement,https://www.coursera.org/learn/entrepreneur-changement
Digital Fashion Innovation,https://www.coursera.org/specializations/digitalfashioninnovation
Digital Health,https://www.coursera.org/specializations/digitalhealth
Digital Manufacturing & Design Technology,https://www.coursera.org/specializations/digital-manufacturing-design-technology
Digital Marketing,https://www.coursera.org/specializations/digital-marketing
Digital Marketing Strategy and Planning,https://www.coursera.org/specializations/digital-marketing-strategy-planning
Digital Product Management,https://www.coursera.org/specializations/uva-darden-digital-product-management
Digital Product Management: Modern Fundamentals,https://www.coursera.org/learn/uva-darden-digital-product-management
Digital Signal Processing,https://www.coursera.org/specializations/digital-signal-processing
Digital Technologies and the Future of Manufacturing,https://www.coursera.org/specializations/digital-technologies-future-of-manufacturing
Digital Transformation Using AI/ML with Google Cloud,https://www.coursera.org/specializations/digital-transformation-using-ai-ml-with-google-cloud
Digitalisation in Aeronautics and Space,https://www.coursera.org/specializations/aerospace
Dino 101: Dinosaur Paleobiology,https://www.coursera.org/learn/dino101
Diseño Instruccional: Aprendizaje activo y Pedagogía digital,https://www.coursera.org/specializations/diseno-instruccional
Diseño de Experiencia del Usuario (UX) de Google,https://www.coursera.org/professional-certificates/diseno-de-experiencia-del-usuario-ux-de-google
Diversity and inclusion in the workplace,https://www.coursera.org/learn/diversity-inclusion-workplace
Diversité et inclusion sur le lieu de travail,https://www.coursera.org/learn/diversite-inclusion-travail
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",https://www.coursera.org/learn/algorithms-divide-conquer
Django for Everybody,https://www.coursera.org/specializations/django
Dog Emotion and Cognition,https://www.coursera.org/learn/dog-emotion-and-cognition
Driving business towards the Sustainable Development Goals,https://www.coursera.org/learn/sdgbusiness
Drug Development Product Management,https://www.coursera.org/specializations/drug-development-product-management
Drug Discovery,https://www.coursera.org/learn/drug-discovery
Dynamic Public Speaking,https://www.coursera.org/specializations/public-speaking
ESG Risks and Opportunities,https://www.coursera.org/learn/esg-risks-opportunities
Economics of Money and Banking,https://www.coursera.org/learn/money-banking
"Effective Communication: Writing, Design, and Presentation",https://www.coursera.org/specializations/effective-business-communication
Electric Industry Operations and Markets,https://www.coursera.org/learn/electricity
Electronic Music Production,https://www.coursera.org/specializations/electronic-music-production
Embedding Sensors and Motors,https://www.coursera.org/specializations/embedding-sensors-motors
Emotional Intelligence: Cultivating Immensely Human Interactions,https://www.coursera.org/learn/emotional-intelligence-cultivating-immensely-human-interactions
"Energy Production, Distribution & Safety",https://www.coursera.org/specializations/energy-industry
Engineering Project Management,https://www.coursera.org/specializations/engineering-project-management
English for Business and Entrepreneurship,https://www.coursera.org/learn/business
English for Career Development,https://www.coursera.org/learn/careerdevelopment
English for Journalism,https://www.coursera.org/learn/journalism
Entrepreneurial Finance: Strategy and Innovation,https://www.coursera.org/specializations/entrepreneurial-finance
Entrepreneurship,https://www.coursera.org/specializations/wharton-entrepreneurship
Entrepreneurship 1: Developing the Opportunity,https://www.coursera.org/learn/wharton-entrepreneurship-opportunity
Entrepreneurship Strategy: From Ideation to Exit,https://www.coursera.org/learn/entrepreneurship-strategy
Entrepreneurship: Growing Your Business,https://www.coursera.org/specializations/entrepreneurship-growing-your-business
Epidemiology in Public Health Practice,https://www.coursera.org/specializations/professional-epidemiology
Equine Welfare and Management,https://www.coursera.org/learn/equine
Essentials in Clinical Simulations Across the Health Professions,https://www.coursera.org/learn/clinicalsimulations
Essentials of Global Health,https://www.coursera.org/learn/essentials-global-health
Ethical Leadership,https://www.coursera.org/specializations/ethical-leadership
"Ethics, Technology and Engineering",https://www.coursera.org/learn/ethics-technology-engineering
European Business Law,https://www.coursera.org/specializations/european-business-law
Evaluations of AI Applications in Healthcare,https://www.coursera.org/learn/evaluations-ai-applications-healthcare
Everyday Excel,https://www.coursera.org/specializations/everyday-excel
"Everyday Excel, Part 1",https://www.coursera.org/learn/everyday-excel-part-1
Everyday Parenting: The ABCs of Child Rearing,https://www.coursera.org/learn/everyday-parenting
Exam Prep MLS-C01: AWS Certified Specialty Machine Learning,https://www.coursera.org/specializations/exam-prep-mls-c01-aws-certified-machine-learning-specialty
Excel Basics for Data Analysis,https://www.coursera.org/learn/excel-basics-data-analysis-ibm
Excel Fundamentals for Data Analysis,https://www.coursera.org/learn/excel-data-analysis-fundamentals
Excel Skills for Business,https://www.coursera.org/specializations/excel
Excel Skills for Business: Essentials,https://www.coursera.org/learn/excel-essentials
Excel Skills for Business: Intermediate I,https://www.coursera.org/learn/excel-intermediate-1
Excel Skills for Data Analytics and Visualization,https://www.coursera.org/specializations/excel-data-analytics-visualization
Excel for Beginners: Introduction to Spreadsheets,https://www.coursera.org/projects/excel-for-beginners-introduction-to-spreadsheets
Excel for Beginners: Pivot Tables,https://www.coursera.org/projects/excel-for-beginners-pivot-tables
Excel to MySQL: Analytic Techniques for Business,https://www.coursera.org/specializations/excel-mysql
Excel/VBA for Creative Problem Solving,https://www.coursera.org/specializations/excel-vba-creative-problem-solving
Executive Data Science,https://www.coursera.org/specializations/executive-data-science
Exploratory Data Analysis for Machine Learning,https://www.coursera.org/learn/ibm-exploratory-data-analysis-for-machine-learning
Expressway to Data Science: Essential Math,https://www.coursera.org/specializations/expressway-to-data-science-essential-math
Expressway to Data Science: Python Programming,https://www.coursera.org/specializations/python-programming-data-science
Extended Reality for Everybody,https://www.coursera.org/specializations/extended-reality-for-everybody
"Extract, Transform and Load Data in Power BI",https://www.coursera.org/learn/extract-transform-and-load-data-in-power-bi
FPGA Design for Embedded Systems,https://www.coursera.org/specializations/fpga-design
"Federal Taxation I: Individuals, Employees, and Sole Proprietors",https://www.coursera.org/learn/federal-taxation-individuals
"FinTech: Foundations, Payments, and Regulations",https://www.coursera.org/learn/wharton-fintech-overview-payments-regulations
Finance & Quantitative Modeling for Analysts,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts
Finance for Non-Finance Professionals,https://www.coursera.org/learn/finance-for-non-finance
Finance for Non-Financial Managers,https://www.coursera.org/learn/finance-for-non-financial-managers
Finance for Technical Managers,https://www.coursera.org/specializations/finance-for-technical-managers
Financial Accounting Fundamentals,https://www.coursera.org/learn/uva-darden-financial-accounting
Financial Acumen for Non-Financial Managers,https://www.coursera.org/learn/finance-healthcare-managers
Financial Analysis - Skills for Success,https://www.coursera.org/specializations/financial-analysis-skills-for-success
Financial Engineering and Risk Management,https://www.coursera.org/specializations/financialengineering
Financial Management,https://www.coursera.org/specializations/financial-management
Financial Markets,https://www.coursera.org/learn/financial-markets-global
Financial Planning for Young Adults,https://www.coursera.org/learn/financial-planning
Financial Reporting,https://www.coursera.org/specializations/financial-reporting
Financial Technology (Fintech) Innovations,https://www.coursera.org/specializations/financialtechnology
Financing and Investing in Infrastructure,https://www.coursera.org/learn/infrastructure-investing
Finanzas corporativas,https://www.coursera.org/specializations/finanzascorporativas
Finding Purpose and Meaning In Life: Living for What Matters Most,https://www.coursera.org/learn/finding-purpose-and-meaning-in-life
Finding Your Professional Voice: Confidence & Impact,https://www.coursera.org/learn/finding-your-professional-voice
Fintech: Foundations & Applications of Financial Technology,https://www.coursera.org/specializations/wharton-fintech
First Principles of Computer Vision,https://www.coursera.org/specializations/firstprinciplesofcomputervision
First Step Korean,https://www.coursera.org/learn/learn-korean
Fondamentaux de la cybersécurité,https://www.coursera.org/learn/fondamentaux-de-la-cybersecurite
Food & Beverage Management,https://www.coursera.org/learn/food-beverage-management
"Food Sustainability, Mindful Eating, and Healthy Cooking",https://www.coursera.org/specializations/food-sustainability-mindful-eating-healthy-cooking
Forensic Accounting and Fraud Examination,https://www.coursera.org/learn/forensic-accounting
Formal Financial Accounting,https://www.coursera.org/learn/formal-financial-accounting
Foundational Finance for Strategic Decision Making,https://www.coursera.org/specializations/foundational-finance
Foundations for Assisting in Home Care,https://www.coursera.org/learn/home-care
